prescription_id,finding_id,pair_index,drug_a_id,drug_b_id,drug_a_name,drug_b_name,evidence_status,evidence_priority,confidence_level,confidence_score,ddi_present,ddi_count,events_present,event_count,inference_id,rule_fired,supporting_edge_ids,source_record_ids
RX_002_CONVERGENT_PAIR,FIND_0001,1,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,CRITICAL_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000001,RULE_CONVERGENT_SAFETY_EVIDENCE,"['E_DDI_166133', 'E_SE_02061836', 'E_SE_02061837', 'E_SE_02061838', 'E_SE_02061839', 'E_SE_02061840']","['DDI:DB00091:DB00196', 'TWOSIDES_EVENT:CID000002909:CID000003365:342', 'TWOSIDES_EVENT:CID000002909:CID000003365:584', 'TWOSIDES_EVENT:CID000002909:CID000003365:1127', 'TWOSIDES_EVENT:CID000002909:CID000003365:953', 'TWOSIDES_EVENT:CID000002909:CID000003365:750']"
RX_003_THREE_DRUGS,FIND_0001,1,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,CRITICAL_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000002,RULE_CONVERGENT_SAFETY_EVIDENCE,"['E_DDI_166133', 'E_SE_02061836', 'E_SE_02061837', 'E_SE_02061838', 'E_SE_02061839', 'E_SE_02061840']","['DDI:DB00091:DB00196', 'TWOSIDES_EVENT:CID000002909:CID000003365:342', 'TWOSIDES_EVENT:CID000002909:CID000003365:584', 'TWOSIDES_EVENT:CID000002909:CID000003365:1127', 'TWOSIDES_EVENT:CID000002909:CID000003365:953', 'TWOSIDES_EVENT:CID000002909:CID000003365:750']"
RX_003_THREE_DRUGS,FIND_0003,3,DRUG_000048,DRUG_000045,Fluconazole,Phentermine,COMBINATION_EVENT_EVIDENCE_ONLY,MODERATE_EVIDENCE_PRIORITY,MODERATE_EVIDENCE_CONFIDENCE,0.65,False,0,True,75,INF_0000004,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,"['E_SE_01192345', 'E_SE_01192346', 'E_SE_01192347', 'E_SE_01192348', 'E_SE_01192349']","['TWOSIDES_EVENT:CID000003365:CID000004771:1244', 'TWOSIDES_EVENT:CID000003365:CID000004771:253', 'TWOSIDES_EVENT:CID000003365:CID000004771:121', 'TWOSIDES_EVENT:CID000003365:CID000004771:926', 'TWOSIDES_EVENT:CID000003365:CID000004771:85']"
RX_003_THREE_DRUGS,FIND_0002,2,DRUG_000006,DRUG_000045,cyclosporine,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000003,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_004_FOUR_DRUGS,FIND_0001,1,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,CRITICAL_EVIDENCE_PRIORITY,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000005,RULE_CONVERGENT_SAFETY_EVIDENCE,"['E_DDI_166133', 'E_SE_02061836', 'E_SE_02061837', 'E_SE_02061838', 'E_SE_02061839', 'E_SE_02061840']","['DDI:DB00091:DB00196', 'TWOSIDES_EVENT:CID000002909:CID000003365:342', 'TWOSIDES_EVENT:CID000002909:CID000003365:584', 'TWOSIDES_EVENT:CID000002909:CID000003365:1127', 'TWOSIDES_EVENT:CID000002909:CID000003365:953', 'TWOSIDES_EVENT:CID000002909:CID000003365:750']"
RX_004_FOUR_DRUGS,FIND_0004,4,DRUG_000048,DRUG_000045,Fluconazole,Phentermine,COMBINATION_EVENT_EVIDENCE_ONLY,MODERATE_EVIDENCE_PRIORITY,MODERATE_EVIDENCE_CONFIDENCE,0.65,False,0,True,75,INF_0000008,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,"['E_SE_01192345', 'E_SE_01192346', 'E_SE_01192347', 'E_SE_01192348', 'E_SE_01192349']","['TWOSIDES_EVENT:CID000003365:CID000004771:1244', 'TWOSIDES_EVENT:CID000003365:CID000004771:253', 'TWOSIDES_EVENT:CID000003365:CID000004771:121', 'TWOSIDES_EVENT:CID000003365:CID000004771:926', 'TWOSIDES_EVENT:CID000003365:CID000004771:85']"
RX_004_FOUR_DRUGS,FIND_0003,3,DRUG_000006,DRUG_001202,cyclosporine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000007,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_004_FOUR_DRUGS,FIND_0002,2,DRUG_000006,DRUG_000045,cyclosporine,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000006,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_004_FOUR_DRUGS,FIND_0005,5,DRUG_000048,DRUG_001202,Fluconazole,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000009,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
RX_004_FOUR_DRUGS,FIND_0006,6,DRUG_000045,DRUG_001202,Phentermine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,NO_EVIDENCE_PRIORITY,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000010,RULE_NO_DIRECT_GRAPH_EVIDENCE,[],[]
