prescription_id,pair_index,canonical_pair_key,drug_a_id,drug_b_id,drug_a_name,drug_b_name,evidence_status,confidence_level,confidence_score,ddi_present,ddi_count,events_present,event_count,inference_id,rule_fired
RX_002_CONVERGENT_PAIR,1,DRUG_000006__DRUG_000048,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000001,RULE_CONVERGENT_SAFETY_EVIDENCE
RX_003_THREE_DRUGS,1,DRUG_000006__DRUG_000048,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000002,RULE_CONVERGENT_SAFETY_EVIDENCE
RX_003_THREE_DRUGS,2,DRUG_000006__DRUG_000045,DRUG_000006,DRUG_000045,cyclosporine,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000003,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_003_THREE_DRUGS,3,DRUG_000045__DRUG_000048,DRUG_000048,DRUG_000045,Fluconazole,Phentermine,COMBINATION_EVENT_EVIDENCE_ONLY,MODERATE_EVIDENCE_CONFIDENCE,0.65,False,0,True,75,INF_0000004,RULE_COMBINATION_EVENT_EVIDENCE_ONLY
RX_004_FOUR_DRUGS,1,DRUG_000006__DRUG_000048,DRUG_000006,DRUG_000048,cyclosporine,Fluconazole,CONVERGENT_SAFETY_EVIDENCE,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000005,RULE_CONVERGENT_SAFETY_EVIDENCE
RX_004_FOUR_DRUGS,2,DRUG_000006__DRUG_000045,DRUG_000006,DRUG_000045,cyclosporine,Phentermine,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000006,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_004_FOUR_DRUGS,3,DRUG_000006__DRUG_001202,DRUG_000006,DRUG_001202,cyclosporine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000007,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_004_FOUR_DRUGS,4,DRUG_000045__DRUG_000048,DRUG_000048,DRUG_000045,Fluconazole,Phentermine,COMBINATION_EVENT_EVIDENCE_ONLY,MODERATE_EVIDENCE_CONFIDENCE,0.65,False,0,True,75,INF_0000008,RULE_COMBINATION_EVENT_EVIDENCE_ONLY
RX_004_FOUR_DRUGS,5,DRUG_000048__DRUG_001202,DRUG_000048,DRUG_001202,Fluconazole,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000009,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_004_FOUR_DRUGS,6,DRUG_000045__DRUG_001202,DRUG_000045,DRUG_001202,Phentermine,trioxsalen,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.33,False,0,False,0,INF_0000010,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_005_MIXED_AND_DUPLICATES,1,DRUG_000006__DRUG_000048,DRUG_000048,DRUG_000006,Fluconazole,cyclosporine,CONVERGENT_SAFETY_EVIDENCE,HIGH_EVIDENCE_CONFIDENCE,0.93,True,1,True,202,INF_0000011,RULE_CONVERGENT_SAFETY_EVIDENCE
RX_006_UNRESOLVED_AND_NEGATIVE,1,DRUG_000001__DRUG_000002,DRUG_000001,DRUG_000002,bivalirudin,goserelin,NO_DIRECT_GRAPH_EVIDENCE,LIMITED_EVIDENCE_CONFIDENCE,0.4,False,0,False,0,INF_0000012,RULE_NO_DIRECT_GRAPH_EVIDENCE
RX_007_FIVE_DRUGS,1,DRUG_000001__DRUG_000006,DRUG_000001,DRUG_000006,bivalirudin,cyclosporine,DDI_EVIDENCE_ONLY,HIGH_EVIDENCE_CONFIDENCE,0.8,True,1,False,0,INF_0000013,RULE_DDI_EVIDENCE_ONLY
