inference_id,drug_a_id,drug_b_id,drug_pair_id,evidence_status,confidence_score,confidence_level,ddi_evidence_present,ddi_forward_count,ddi_reverse_count,combination_event_present,combination_event_count,identity_status,inference_rule,clinical_interpretation
INF_0000001,DRUG_000045,DRUG_000048,PAIR_DRUG_000045__DRUG_000048,COMBINATION_EVENT_EVIDENCE_ONLY,0.65,MODERATE_EVIDENCE_CONFIDENCE,False,0,0,True,75,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_COMBINATION_EVENT_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000002,DRUG_001202,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000003,DRUG_000001,DRUG_000002,NONE,NO_DIRECT_GRAPH_EVIDENCE,0.4,LIMITED_EVIDENCE_CONFIDENCE,False,0,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_NO_DIRECT_GRAPH_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000004,DRUG_000003,DRUG_000004,NONE,NO_DIRECT_GRAPH_EVIDENCE,0.4,LIMITED_EVIDENCE_CONFIDENCE,False,0,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_NO_DIRECT_GRAPH_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000005,DRUG_000006,DRUG_000048,PAIR_DRUG_000006__DRUG_000048,CONVERGENT_SAFETY_EVIDENCE,0.93,HIGH_EVIDENCE_CONFIDENCE,True,1,0,True,202,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_CONVERGENT_SAFETY_EVIDENCE,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000006,DRUG_000653,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000007,DRUG_001642,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000008,DRUG_001148,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000009,DRUG_001482,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.73,MODERATE_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
INF_0000010,DRUG_001678,DRUG_000302,NONE,DDI_EVIDENCE_ONLY,0.8,HIGH_EVIDENCE_CONFIDENCE,True,1,0,False,0,CONFIRMED_INTEGRATED_ENTITY + CONFIRMED_INTEGRATED_ENTITY,RULE_DDI_EVIDENCE_ONLY,This evaluation reflects structured graph evidence strength. It is not a clinical risk probability or medical diagnosis.
