edge_id,source_node_id,target_node_id,relationship_type,source_dataset,source_record_id,mapping_confidence,evidence_confidence,properties_json
E_RXN_000001,DRUG_000001,RXCUI_60819,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000001:60819,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000002,DRUG_000002,RXCUI_50610,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000002:50610,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000003,DRUG_000003,RXCUI_5011,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000003:5011,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000004,DRUG_000004,RXCUI_203658,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000004:203658,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000005,DRUG_000005,RXCUI_22299,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000005:22299,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000006,DRUG_000006,RXCUI_3008,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000006:3008,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000007,DRUG_000007,RXCUI_7617,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000007:7617,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000008,DRUG_000008,RXCUI_11248,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000008:11248,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000009,DRUG_000009,RXCUI_8156,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000009:8156,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000010,DRUG_000010,RXCUI_2449,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000010:2449,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000011,DRUG_000011,RXCUI_1151,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000011:1151,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000012,DRUG_000012,RXCUI_4885,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000012:4885,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000013,DRUG_000013,RXCUI_6837,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000013:6837,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000014,DRUG_000014,RXCUI_1894,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000014:1894,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000015,DRUG_000015,RXCUI_9346,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000015:9346,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000016,DRUG_000016,RXCUI_25916,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000016:25916,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
E_RXN_000017,DRUG_000017,RXCUI_1855064,HAS_RXNORM_CONCEPT,RxNorm,RXN:DRUG_000017:1855064,HIGH_EXACT,HIGH_AUTHORITATIVE,"{""mapping_method"": ""exact_identifier_based"", ""resolution_status"": ""HIGH_EXACT"", ""match_score"": 100.0, ""source_dataset"": ""RxNorm"", ""provenance"": ""rxnorm_drug_enrichment.csv""}"
